2025-07-06 15:14:01 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 144.6, 風向: 東南
2025-07-06 15:14:02 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 144.6, 風向: 東南
2025-07-06 15:14:32 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 180.7, 風向: 南
2025-07-06 15:14:33 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 180.7, 風向: 南
2025-07-06 15:15:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 21.2, 風向: 北北東
2025-07-06 15:15:04 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 21.2, 風向: 北北東
2025-07-06 15:15:35 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 317.6, 風向: 西北
2025-07-06 15:15:35 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 317.6, 風向: 西北
2025-07-06 15:16:06 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 340.8, 風向: 北北西
2025-07-06 15:16:07 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 340.8, 風向: 北北西
2025-07-06 15:16:37 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 194.8, 風向: 南南西
2025-07-06 15:16:38 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 194.8, 風向: 南南西
2025-07-06 15:17:08 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 338.3, 風向: 北北西
2025-07-06 15:17:09 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 338.3, 風向: 北北西
2025-07-06 15:17:40 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 330.6, 風向: 北北西
2025-07-06 15:17:40 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 330.6, 風向: 北北西
2025-07-06 15:18:11 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 91.5, 風向: 東
2025-07-06 15:18:11 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 91.5, 風向: 東
2025-07-06 15:18:42 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 165.9, 風向: 南南東
2025-07-06 15:18:43 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 165.9, 風向: 南南東
2025-07-06 15:19:13 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 139.6, 風向: 東南
2025-07-06 15:19:14 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 139.6, 風向: 東南
2025-07-06 15:19:44 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 244.3, 風向: 西南西
2025-07-06 15:19:45 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 244.3, 風向: 西南西
2025-07-06 15:20:16 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 139.5, 風向: 東南
2025-07-06 15:20:16 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 139.5, 風向: 東南
